term	warmth	competence	sociability	trust
of little	-0.625	-0.344	-0.625	-0.152
of necessity	0.182	0.276	-0.042	0.182
of sorts	0.000	-0.218	0.000	0.000
off air	-0.238	-0.266	-0.238	-0.061
off balance	-0.417	-0.244	-0.417	-0.333
off base	-0.571	-0.160	-0.571	-0.444
off brand	-0.458	-0.258	-0.458	-0.367
off chance	-0.028	-0.180	0.000	-0.028
off guard	0.167	-0.366	0.167	0.000
off label	-0.333	-0.428	0.000	-0.333
off limits	-0.500	-0.618	-0.500	-0.091
off of	-0.061	-0.188	0.000	-0.061
off road	-0.083	-0.258	-0.083	0.048
off season	-0.083	-0.354	-0.083	0.030
off topic	-0.333	-0.344	-0.333	-0.182
off white	0.067	-0.242	0.000	0.067
off with	-0.762	-0.286	-0.762	-0.333
off year	-0.182	-0.408	-0.167	-0.182
offensive zone	-0.429	0.000	-0.429	-0.121
office staff	0.458	0.172	0.458	0.389
oh my	0.625	-0.156	0.625	-0.030
oh no	0.333	-0.552	0.333	-0.111
oh noes	-0.167	-0.250	-0.167	-0.100
oh well	0.048	-0.242	0.048	0.033
oil company	-0.667	0.068	-0.667	-0.410
old age	0.567	-0.500	0.250	0.567
old boy	0.667	0.024	0.667	0.303
old fart	-0.500	-0.238	-0.500	-0.212
old fashioned	0.458	0.326	0.458	0.333
old friend	1.000	-0.104	1.000	0.848
old growth	0.515	-0.214	0.167	0.515
old guard	0.528	-0.034	0.417	0.528
old person	0.875	-0.388	0.875	0.515
old soul	0.963	-0.242	0.963	0.576
old testament	0.576	-0.176	-0.375	0.576
old time	0.708	0.058	0.708	0.282
old timer	0.833	-0.428	0.833	0.600
old woman	0.762	-0.310	0.762	0.576
olive garden	1.000	0.178	1.000	0.212
olive oil	0.455	-0.034	0.370	0.455
on acid	-0.576	-0.250	-0.524	-0.576
on bail	-0.370	-0.260	-0.292	-0.370
on course	0.500	0.066	0.417	0.500
on deck	0.476	-0.172	0.476	0.083
on drugs	-0.762	-0.566	-0.762	-0.667
on edge	-0.519	-0.266	-0.519	-0.111
on end	-0.042	-0.380	-0.042	0.000
on fire	0.944	0.000	0.944	0.033
on guard	0.519	0.036	-0.292	0.519
on high	0.250	0.194	0.250	0.000
on message	0.722	0.032	0.722	0.606
on occasion	0.167	0.344	0.167	0.056
on probation	-0.370	-0.100	-0.370	-0.300
on sale	0.091	-0.282	0.083	0.091
on schedule	0.727	0.344	0.125	0.727
on side	0.625	-0.250	0.625	0.167
on special	0.143	0.108	0.143	0.083
on steroids	-0.606	-0.192	-0.476	-0.606
on tape	0.370	-0.258	0.000	0.370
on trend	0.542	-0.204	0.542	0.083
oncoming traffic	-0.292	0.068	-0.292	-0.030
one another	0.963	-0.142	0.963	0.500
one day	0.519	-0.034	0.519	0.061
one down	-0.143	-0.376	-0.143	-0.083
one hundred	0.133	0.290	0.000	0.133
one percent	-0.292	0.048	-0.292	-0.037
one quarter	0.000	0.034	0.000	0.000
one shot	0.111	0.068	0.083	0.111
one side	-0.143	-0.108	-0.143	0.000
one sided	-0.600	-0.160	-0.542	-0.600
only children	0.095	0.000	0.095	0.056
oodles of	0.857	-0.166	0.857	0.056
open air	0.524	0.096	0.524	0.152
open door	0.963	0.222	0.963	0.617
open doors	0.963	0.244	0.963	0.333
open ended	0.583	-0.130	0.500	0.583
open enrollment	0.545	0.162	0.375	0.545
open fire	0.444	0.034	0.444	-0.444
open for	0.500	0.100	0.500	0.061
open invitation	0.958	0.200	0.958	0.639
open letter	0.758	0.072	0.417	0.758
open market	0.667	0.242	0.556	0.667
open mind	0.917	0.518	0.917	0.750
open season	0.238	0.206	0.238	0.061
open space	0.576	0.214	0.542	0.576
open up	0.917	0.166	0.917	0.633
open water	0.067	0.032	0.037	0.067
opening line	0.952	0.200	0.952	0.111
opening night	0.905	0.130	0.905	0.152
opening sequence	0.208	0.322	0.208	0.028
opening up	0.815	0.074	0.815	0.606
opera house	0.458	0.322	0.458	0.333
operate on	0.576	0.296	-0.167	0.576
operating costs	0.091	0.300	0.000	0.091
opposed to	-0.667	-0.036	-0.667	-0.185
opposite sex	0.167	-0.108	0.167	0.030
opt out	-0.524	-0.434	-0.524	-0.074
or else	-0.381	-0.452	-0.381	0.000
or otherwise	0.000	-0.214	0.000	0.000
or so	0.000	-0.250	0.000	0.000
or somebody	0.000	-0.370	0.000	0.000
or something	0.056	-0.250	0.056	0.000
or whatever	-0.381	-0.500	-0.381	-0.233
oral sex	-0.485	-0.100	-0.444	-0.485
orange juice	0.407	-0.110	0.407	0.083
order in	0.600	0.112	0.083	0.600
organ donor	1.000	-0.036	1.000	0.606
organic food	0.697	0.258	0.625	0.697
organic growth	0.762	0.250	0.762	0.630
organized crime	-1.000	-0.194	-0.952	-1.000
original sin	-0.636	-0.134	-0.583	-0.636
other side	0.125	-0.100	0.125	0.000
other woman	-0.727	-0.038	0.125	-0.727
ouija board	-0.583	-0.194	-0.583	-0.455
our father	1.000	0.288	1.000	0.909
our lord	0.926	0.370	0.792	0.926
out cold	-0.583	-0.452	-0.583	-0.074
out front	0.556	-0.124	0.556	0.182
out in	-0.125	-0.286	-0.125	0.000
out loud	0.583	-0.288	0.583	0.182
out of	-0.278	-0.334	-0.278	-0.061
out there	0.333	-0.428	0.333	0.061
out to	0.208	-0.434	0.208	0.000
outdoor game	0.917	0.130	0.917	0.179
outside of	-0.167	-0.250	-0.167	0.030
oval office	0.556	0.000	0.208	0.556
over here	0.833	-0.334	0.833	0.056
over priced	-0.381	-0.270	-0.381	-0.222
over with	-0.429	-0.080	-0.429	-0.033
owe to	0.417	0.130	0.259	0.417
own brand	0.185	0.366	0.083	0.185
oy vey	0.250	-0.096	0.250	0.000
pack on	0.167	0.104	0.167	-0.152
paddle boat	0.593	-0.170	0.593	0.091
paid up	0.727	0.366	0.467	0.727
paid vacation	0.619	0.300	0.619	0.467
pajama pants	0.630	-0.104	0.630	0.111
palm beach	0.952	0.130	0.952	0.067
palm springs	0.833	0.040	0.833	0.152
palm tree	1.000	0.142	1.000	0.074
pan out	0.067	-0.096	0.000	0.067
panic attack	-0.583	-0.500	-0.583	-0.100
panic button	-0.667	-0.428	-0.667	0.167
panic buying	-0.667	-0.366	-0.667	-0.606
panic selling	-0.667	-0.444	-0.593	-0.667
pants down	-0.611	-0.310	-0.476	-0.611
pap smear	0.042	-0.120	0.000	0.042
paper thin	-0.467	-0.034	-0.467	-0.167
parallel parking	-0.125	0.104	-0.125	0.000
parking garage	-0.238	-0.108	-0.238	0.111
parking space	0.083	0.104	0.048	0.083
parking spot	0.042	0.134	0.000	0.042
part of	0.762	-0.214	0.762	0.061
part with	0.250	-0.148	0.250	0.111
partial to	0.750	-0.038	0.750	0.061
participate in	0.852	0.380	0.852	0.194
partner up	1.000	0.300	1.000	0.576
party politics	-0.700	0.572	-0.333	-0.700
party pooper	-0.815	-0.176	-0.815	-0.481
party to	0.952	0.210	0.952	0.000
pass away	0.333	-0.226	0.333	-0.037
pass in	0.061	-0.066	0.048	0.061
pass off	-0.571	-0.154	-0.571	-0.533
pass out	-0.292	-0.250	-0.292	-0.077
pass to	0.125	-0.100	0.125	0.000
passing away	-0.083	-0.142	-0.083	-0.033
passion fruit	0.762	-0.134	0.762	0.083
past decade	0.182	-0.130	0.000	0.182
past it	-0.556	-0.276	-0.556	-0.139
past tense	-0.083	-0.066	-0.083	0.000
paternity leave	0.958	-0.214	0.958	0.576
pattern on	0.111	-0.162	0.042	0.111
pause button	0.061	-0.448	0.000	0.061
pawn shop	-0.542	-0.206	-0.542	-0.364
pay attention	0.952	0.194	0.952	0.800
pay back	0.533	0.182	-0.333	0.533
pay cut	-0.583	-0.376	-0.583	-0.273
pay day	0.704	0.096	0.704	0.242
pay down	0.515	-0.134	0.125	0.515
pay out	0.524	0.064	0.375	0.524
pay raise	0.370	0.206	0.370	0.200
pay rise	0.556	0.200	0.556	0.212
pay tribute	0.750	0.094	0.750	0.611
paying attention	1.000	0.300	1.000	0.636
pea soup	0.370	-0.206	0.370	0.056
peace sign	1.000	-0.124	1.000	0.704
pearl necklace	0.333	0.226	0.333	0.000
pearly gates	0.889	-0.096	0.889	0.576
pecan pie	0.958	-0.200	0.958	0.133
peel off	-0.190	-0.384	-0.190	0.000
peer pressure	-0.625	-0.482	-0.625	-0.545
pelvic floor	-0.333	-0.068	-0.333	0.111
penalty box	-0.524	-0.166	-0.524	-0.121
penalty kick	0.333	-0.108	0.333	-0.061
penalty kill	-0.095	-0.234	-0.067	-0.095
penalty shootout	0.476	0.000	0.476	0.028
penalty shot	0.083	-0.108	0.000	0.083
penny stock	-0.633	-0.242	-0.333	-0.633
pension fund	0.800	0.096	0.000	0.800
pension plan	0.778	0.108	0.125	0.778
people person	1.000	0.200	1.000	0.556
people skills	0.963	0.258	0.963	0.694
pep rally	1.000	0.034	1.000	0.121
pepper spray	-0.852	0.104	-0.852	-0.467
peppermint oil	0.333	-0.108	0.333	0.111
per cent	0.182	0.068	0.000	0.182
per se	0.121	-0.226	0.000	0.121
per year	0.083	0.034	0.000	0.083
perfect game	0.875	0.242	0.167	0.875
perfect pitch	0.143	0.310	0.143	0.121
performance art	0.815	0.234	0.815	0.121
