term	warmth	competence	sociability	trust
shellproof	0.121	0.875	0.000	0.121
shellshock	-0.833	-0.958	-0.833	-0.133
shelter	0.926	0.138	0.926	0.818
shelved	-0.444	-0.358	-0.444	0.000
shenanigan	-0.636	-0.444	0.278	-0.636
shepherd	1.000	0.220	1.000	0.667
shepherdess	0.630	-0.250	0.611	0.630
sherpa	0.926	0.619	0.926	0.733
shiatsu	0.542	-0.267	0.542	0.000
shiftily	-0.708	-0.667	-0.708	-0.593
shiftiness	-0.900	-0.556	-0.667	-0.900
shiftless	-0.833	-0.926	-0.833	-0.700
shiftlessness	-0.762	-1.000	-0.762	-0.697
shifty	-0.833	-0.034	-0.833	-0.788
shimmer	0.375	0.312	0.375	0.056
shimmering	0.429	0.808	0.429	0.091
shimmery	0.583	0.083	0.583	0.056
shine	0.852	0.482	0.852	0.182
shiner	0.296	0.112	0.296	-0.200
shininess	0.083	0.250	0.048	0.083
shining	0.667	0.624	0.667	0.333
shiny	0.333	0.574	0.333	0.167
ship	0.273	-0.122	0.185	0.273
shipbuilder	0.606	0.722	0.500	0.606
shipmaster	0.633	1.000	0.417	0.633
shippable	0.152	0.556	0.042	0.152
shipwreck	-0.619	-0.254	-0.619	-0.167
shipyard	-0.333	0.190	-0.333	0.167
shirk	-0.714	-0.714	-0.714	-0.667
shirker	-0.708	-0.833	-0.708	-0.667
shirt	0.222	0.000	0.222	0.008
shirtdress	0.125	0.000	0.125	0.028
shit	-0.952	-0.432	-0.952	-0.778
shitday	-0.762	-0.220	-0.762	-0.515
shite	-0.708	-0.583	-0.708	-0.636
shitfaced	-0.727	-0.240	-0.704	-0.727
shithead	-1.000	-0.396	-1.000	-1.000
shithouse	-1.000	-0.905	-1.000	-0.861
shitless	-0.722	-0.334	-0.708	-0.722
shitload	-0.583	-0.678	-0.583	-0.545
shittest	-1.000	-0.536	-0.958	-1.000
shitting	-0.958	-0.722	-0.958	-0.727
shitty	-0.952	-0.674	-0.952	-0.889
shiver	-0.458	-0.528	-0.458	0.000
shivering	-0.556	-0.254	-0.556	-0.056
shoals	0.292	-0.250	0.292	0.000
shock	-0.375	-0.094	-0.375	-0.222
shocked	-0.417	-0.250	-0.417	0.000
shocker	-0.667	0.232	-0.333	-0.667
shocking	-0.429	0.666	-0.429	-0.267
shockproof	0.700	0.833	0.000	0.700
shockwave	-0.458	0.667	-0.458	-0.028
shoddily	-0.792	-0.792	-0.571	-0.792
shoddiness	-0.926	-0.762	-0.667	-0.926
shoddy	-0.722	-0.642	-0.708	-0.722
shoelace	0.042	-0.386	0.042	0.000
shoeless	0.037	-0.524	0.000	0.037
shoemaker	0.583	-0.018	0.583	0.364
shoes	0.061	-0.580	0.000	0.061
shoeshine	0.292	-0.350	0.292	0.083
shoestring	0.000	-0.519	0.000	0.000
shoo	-0.611	0.481	-0.611	0.000
shook	-0.152	0.018	0.083	-0.152
shoot	-0.111	0.250	0.000	-0.111
shooter	-0.667	0.548	-0.667	-0.636
shooting	-0.875	0.204	-0.875	-0.636
shootout	-0.704	0.230	-0.704	-0.533
shop	0.524	0.130	0.524	0.091
shopkeeper	0.762	0.460	0.762	0.583
shoplift	-0.944	-0.667	-0.852	-0.944
shoplifting	-1.000	-0.118	-0.958	-1.000
shopper	0.429	0.482	0.429	0.042
shoppers	0.619	-0.222	0.619	0.033
shopping	0.667	0.260	0.667	0.000
shorebird	0.556	0.000	0.556	0.000
shorefront	0.458	0.000	0.458	0.030
shoreline	0.519	0.058	0.519	0.185
shorn	-0.458	-0.200	-0.458	0.037
short	0.061	-0.526	-0.007	0.061
shortage	-0.583	-0.604	-0.583	-0.037
shortcake	0.741	-0.204	0.741	0.056
shortchange	-0.810	-0.667	-0.810	-0.806
shortcoming	-0.333	-0.484	-0.238	-0.333
shorten	-0.037	-0.080	-0.037	0.000
shortening	-0.030	-0.230	0.000	-0.030
shortfall	-0.417	-0.667	-0.417	-0.300
shortie	0.381	-0.708	0.381	-0.233
shortlived	-0.222	-0.370	-0.208	-0.222
shortsighted	-0.583	-0.593	-0.583	-0.400
shortsightedly	-0.571	-0.667	-0.571	-0.485
shortsightedness	-0.667	-0.625	-0.667	-0.515
shot	-0.333	0.138	-0.333	-0.030
shotgun	-0.778	0.368	-0.778	-0.100
shout	-0.556	-0.112	-0.556	0.000
shouter	-0.500	0.833	-0.500	-0.424
shove	-0.667	0.204	-0.667	-0.333
shoveling	0.250	0.074	0.250	0.000
show	0.889	0.438	0.889	0.139
showbiz	0.815	0.196	0.815	-0.200
showbusiness	0.238	0.593	0.238	-0.182
showdown	-0.375	0.384	-0.375	0.111
shower	0.593	-0.328	0.593	0.091
showerhead	0.042	0.000	0.042	0.033
showgirl	0.444	-0.038	0.444	-0.091
showground	0.583	-0.037	0.583	0.074
showiness	-0.424	0.037	-0.417	-0.424
showman	0.833	0.833	0.833	0.061
showmanship	0.708	0.722	0.708	0.000
showoff	-0.667	-0.074	-0.611	-0.667
showpiece	0.500	0.519	0.500	0.182
showplace	0.583	0.593	0.583	0.167
showroom	0.636	0.072	0.000	0.636
showstopper	0.429	0.944	0.429	0.000
showy	-0.278	0.322	-0.278	-0.250
shrank	-0.375	-0.583	-0.375	-0.128
shrapnel	-0.905	0.362	-0.905	-0.242
shred	-0.455	0.254	-0.292	-0.455
shredded	-0.286	-0.889	-0.286	-0.222
shredder	-0.458	0.667	-0.458	0.000
shrew	-0.952	-0.220	-0.952	-0.583
shrewdly	-0.630	0.667	-0.444	-0.630
shrewish	-0.733	-0.667	-0.630	-0.733
shrill	-0.593	0.280	-0.593	-0.433
shrillness	-0.625	-0.583	-0.625	-0.528
shrilly	-0.667	-0.593	-0.667	-0.306
shrine	0.636	0.148	0.208	0.636
shrink	-0.333	-0.456	-0.333	0.083
shrinkable	-0.125	-0.444	-0.125	-0.037
shrinkage	-0.542	-0.481	-0.542	-0.333
shrinking	-0.407	-0.566	-0.407	-0.091
shrivel	-0.619	-0.714	-0.619	0.067
shrug	-0.238	-0.444	-0.238	-0.030
shrunk	0.556	-0.564	-0.167	0.556
shudder	-0.625	0.118	-0.625	-0.111
shuddering	-0.667	0.276	-0.667	-0.152
shunned	-0.857	-0.266	-0.857	-0.455
shunt	-0.429	-0.060	-0.429	-0.139
shut	-0.571	-0.378	-0.571	0.000
shutdown	-0.667	-0.164	-0.667	-0.185
shutit	-0.636	-0.040	-0.625	-0.636
shutout	-0.704	0.852	-0.704	-0.278
shutter	-0.429	-0.036	-0.429	0.083
shutterbug	0.889	0.222	0.889	0.000
shutting	-0.556	0.000	-0.556	-0.133
shutup	-0.792	-0.018	-0.792	-0.667
shy	-0.333	-0.736	-0.333	0.111
shylock	-0.889	0.111	-0.889	-0.633
shyness	0.273	-0.508	-0.190	0.273
shyster	-1.000	-0.152	-0.889	-1.000
siamese	0.167	-0.167	0.167	0.030
sib	0.833	0.186	0.833	0.485
sibling	0.958	0.272	0.958	0.583
sic	-0.750	-0.240	-0.750	0.000
sick	-0.208	-0.728	-0.208	-0.111
sickbay	-0.286	-0.310	-0.286	0.242
sickbed	-0.583	-0.875	-0.583	0.100
sicken	-0.750	-0.412	-0.750	-0.417
sickening	-0.917	-0.482	-0.917	-0.639
sicker	-0.625	-0.792	-0.625	-0.067
sickish	-0.500	-0.630	-0.500	-0.200
sickliness	-0.583	-0.917	-0.583	-0.472
sickly	-0.630	-0.618	-0.630	-0.359
sickness	-0.273	-0.424	-0.222	-0.273
sicko	-0.958	-0.810	-0.958	-0.848
sickroom	-0.185	-0.667	-0.185	0.000
sideburns	0.000	-0.384	0.000	0.000
sidesplitting	0.857	0.083	0.857	0.000
sidestep	-0.333	-0.186	-0.333	-0.152
sidestroke	0.278	0.143	0.278	0.030
sideswipe	-0.583	-0.417	-0.583	-0.152
sidetrack	-0.190	-0.500	-0.190	-0.083
sideways	-0.167	-0.418	-0.167	-0.067
sidle	-0.333	-0.519	-0.333	-0.278
siege	-0.708	0.134	-0.708	-0.233
siesta	0.708	-0.353	0.708	0.152
sight	0.259	0.056	0.259	0.167
sightlessly	-0.500	-0.889	-0.500	-0.278
sightlessness	-0.583	-0.625	-0.583	-0.037
sightsee	0.810	-0.048	0.810	0.083
sightseeing	0.810	0.394	0.810	0.152
sightseer	0.726	-0.111	0.726	0.167
signet	0.500	0.571	0.000	0.500
significance	0.524	0.288	0.524	0.111
significant	0.583	0.572	0.583	0.167
significantly	0.125	0.533	0.125	0.111
signor	0.222	0.619	0.222	0.100
silenced	-0.583	-0.952	-0.583	-0.333
silk	0.583	-0.400	0.583	0.303
silken	0.750	-0.212	0.750	0.111
silkily	0.333	-0.238	0.333	-0.033
silkiness	0.667	-0.259	0.667	0.091
silkscreen	0.000	0.250	0.000	0.000
silkweed	0.048	-0.190	0.048	-0.030
silky	0.542	-0.458	0.542	0.152
silliness	0.917	-0.616	0.917	-0.042
silly	0.667	-0.678	0.667	-0.048
silo	-0.476	-0.286	-0.476	0.028
silver	0.485	0.230	0.333	0.485
silverback	0.381	1.000	0.381	0.030
silverfish	-0.381	-0.333	-0.381	-0.167
silverplate	0.167	0.125	0.167	0.100
silversmith	0.515	0.333	0.370	0.515
silverware	0.238	-0.182	0.125	0.238
silverwork	0.367	0.286	0.111	0.367
similarities	0.500	0.000	0.500	0.500
similarity	0.583	0.268	0.583	0.576
similarly	0.381	0.000	0.381	0.273
similitude	0.292	0.000	0.292	0.182
simmer	0.292	-0.214	0.292	0.100
simmering	0.056	-0.176	0.056	0.000
simper	-0.433	-0.667	-0.167	-0.433
simple	0.741	-0.372	0.741	0.250
simpleminded	-0.542	-0.667	-0.542	-0.212
simples	0.167	-0.474	0.167	0.000
simplest	0.143	-0.222	0.143	0.074
simplex	0.000	0.333	0.000	0.000
simplicity	0.767	-0.326	0.571	0.767
simplification	0.545	0.286	0.083	0.545
simplified	0.500	-0.083	0.500	0.306
simplifier	0.367	0.407	0.208	0.367
simulator	0.061	0.166	0.000	0.061
simultaneous	0.194	0.108	0.000	0.194
simultaneously	0.194	0.218	0.000	0.194
sin	-1.000	-0.102	-0.667	-1.000
sincere	1.000	0.450	1.000	0.970
sincerity	1.000	0.372	1.000	0.944
sinew	-0.200	0.583	-0.200	0.152
sinewy	-0.222	0.571	-0.222	0.067
sinful	-0.889	-0.166	-0.667	-0.889
sinfully	-0.967	-0.259	-0.476	-0.967
sinfulness	-0.889	-0.375	-0.762	-0.889
sing	1.000	-0.160	1.000	0.000
singer	0.810	0.256	0.810	0.556
singing	0.917	0.056	0.917	0.200
single	0.067	-0.482	0.067	0.000
singlehanded	-0.333	0.833	-0.333	0.182
singlehandedly	-0.292	0.963	-0.292	0.133
singlehood	-0.458	0.042	-0.458	-0.033
singsong	0.667	-0.375	0.667	-0.028
sinister	-0.909	0.162	-0.810	-0.909
sinisterly	-1.000	0.750	-0.800	-1.000
sink	-0.083	-0.356	-0.083	0.000
sinker	-0.583	0.076	-0.583	-0.167
sinkhole	-0.630	-0.667	-0.630	-0.167
sinking	-0.733	-0.316	-0.571	-0.733
sinless	0.879	-0.048	0.810	0.879
sinner	-0.867	-0.288	-0.667	-0.867
sinning	-0.972	-0.156	-0.714	-0.972
sinuous	-0.125	0.238	-0.125	-0.121
sinuously	-0.429	0.417	-0.429	-0.121
sinusitis	-0.389	-0.444	-0.389	-0.030
sip	0.292	-0.574	0.292	0.030
siphon	-0.042	-0.130	-0.042	0.028
sire	0.367	0.616	-0.267	0.367
sirree	0.444	0.185	0.125	0.444
sissy	-0.857	-0.536	-0.857	-0.152
sister	0.958	0.124	0.958	0.639
sisterhood	0.958	0.392	0.958	0.879
sisterly	0.958	-0.333	0.958	0.750
sitar	0.458	0.000	0.458	0.000
site	0.100	-0.096	0.000	0.100
sitemap	0.000	0.048	0.000	0.000
sitter	0.375	-0.192	0.375	0.333
sixty	0.000	-0.134	0.000	0.000
sizable	0.167	0.314	0.000	0.167
sizably	0.037	0.208	0.037	0.030
sizeable	0.100	0.407	0.000	0.100
skanky	-0.967	-0.375	-0.833	-0.967
skate	0.333	0.016	0.333	0.000
skateboard	0.125	-0.294	0.125	0.000
skateboarder	0.611	0.095	0.611	0.056
skater	0.429	0.304	0.429	0.030
skating	0.722	-0.130	0.722	0.000
skeletal	-0.667	-0.364	-0.667	0.000
skeleton	-0.481	-0.314	-0.481	0.028
skeptic	-0.625	0.000	-0.625	-0.212
skeptical	-0.583	-0.096	-0.583	-0.467
skeptically	-0.542	0.375	-0.542	-0.394
skepticism	-0.500	0.164	-0.500	-0.364
sketch	0.222	-0.160	0.222	-0.121
sketchbook	0.286	-0.185	0.286	0.056
sketchily	-0.667	-0.667	-0.286	-0.667
sketchiness	-0.767	-0.630	-0.571	-0.767
sketching	0.292	-0.200	0.292	0.037
sketchpad	0.125	0.000	0.125	0.037
sketchy	-0.750	-0.435	-0.625	-0.750
skewed	-0.583	-0.278	-0.583	-0.556
ski	0.111	-0.058	0.111	0.083
skid	-0.407	-0.298	-0.407	-0.167
skidded	-0.417	-0.619	-0.417	-0.152
skidoo	-0.091	0.000	-0.048	-0.091
skier	0.417	0.278	0.417	0.028
skiing	0.481	0.240	0.481	0.091
skijump	0.042	-0.036	0.042	0.000
skill	0.417	0.666	0.417	0.259
skilled	0.292	0.858	0.292	0.167
skillful	0.606	0.816	0.458	0.606
skillfully	0.303	0.714	0.286	0.303
