term	warmth (W)	competence (C)	sociability (S)	trust (T)
starlight	0.778	0.222	0.778	0.152
starred	0.208	0.524	0.208	0.000
starriness	0.444	0.000	0.444	0.030
stars	0.625	-0.032	0.625	0.242
starship	0.000	0.408	0.000	0.000
starstruck	0.381	-0.481	0.381	-0.033
start	0.429	0.178	0.429	0.182
start date	0.194	-0.022	0.167	0.194
start in	0.095	0.234	0.095	0.028
start off	0.417	-0.166	0.417	0.000
start with	0.583	0.214	0.583	0.000
starter	0.292	0.654	0.292	0.182
starting line	0.167	0.404	0.167	0.030
starting point	0.143	0.266	0.143	0.121
startle	-0.250	-0.166	-0.250	-0.056
startled	-0.286	0.052	-0.286	-0.139
startler	-0.370	0.000	-0.370	-0.091
startling	-0.143	0.660	-0.143	0.000
starvation	-0.952	-0.432	-0.952	-0.042
starve	-0.792	-0.196	-0.792	-0.148
starved	-0.852	-0.524	-0.852	0.083
starving	-0.708	-0.328	-0.708	-0.167
stash	-0.533	-0.278	0.042	-0.533
stashed	-0.556	0.458	-0.111	-0.556
stasis	-0.370	-0.556	-0.370	0.000
state fair	0.815	0.068	0.815	0.515
state park	0.889	0.258	0.889	0.667
state university	0.636	0.312	0.389	0.636
statehood	0.481	0.889	0.286	0.481
statehouse	0.515	0.852	0.000	0.515
stateless	-0.667	-0.500	-0.667	-0.091
stateliness	0.611	0.889	-0.250	0.611
stately	0.556	0.830	0.429	0.556
statement	0.815	0.650	0.000	0.815
stateroom	0.133	-0.118	0.000	0.133
stateside	0.381	0.416	0.381	0.056
statesmanship	0.800	0.708	0.667	0.800
stateswoman	0.963	0.778	0.619	0.963
static	-0.500	-0.268	-0.500	0.000
staticky	-0.500	-0.284	-0.500	0.000
statin	-0.375	0.167	-0.375	0.167
station	0.167	0.038	0.000	0.167
station wagon	0.208	0.066	0.208	0.121
stationmaster	0.667	0.704	0.296	0.667
statistical	0.727	0.254	-0.042	0.727
stator	-0.333	0.114	-0.333	0.000
statuesque	0.476	0.524	0.476	0.121
statuesquely	-0.417	0.667	-0.417	0.000
statuette	0.185	0.036	0.185	0.030
statured	0.061	0.286	0.042	0.061
status	0.212	0.176	0.000	0.212
staunchly	0.727	0.952	0.042	0.727
staunchness	0.939	0.762	0.556	0.939
stay alive	1.000	0.142	1.000	0.167
stay away	-0.667	-0.276	-0.667	-0.091
stay back	-0.481	-0.406	-0.481	-0.028
stay behind	-0.381	-0.266	-0.381	0.028
stay down	-0.500	-0.396	-0.500	-0.037
stay hungry	0.042	0.000	0.042	0.000
stay off	-0.429	-0.440	-0.429	0.033
stay on	0.200	0.222	0.167	0.200
stay together	0.952	0.310	0.952	0.722
stay tuned	0.167	0.138	0.167	0.000
stay up	0.375	0.034	0.375	0.121
stay well	0.889	0.192	0.889	0.194
stay with	1.000	0.124	1.000	0.296
stayaway	-0.667	0.052	-0.667	-0.500
staying power	0.697	0.482	0.542	0.697
stays	0.121	0.128	0.111	0.121
steadfastly	0.909	0.852	0.593	0.909
steadfastness	0.970	0.952	0.926	0.970
steadier	0.708	0.667	0.542	0.708
steadiness	0.800	0.630	0.571	0.800
steady	0.758	0.541	0.524	0.758
steak	0.381	-0.370	0.381	0.111
steak house	0.583	-0.200	0.583	0.212
steakhouse	0.625	0.094	0.625	0.222
steal	-0.939	0.056	-0.917	-0.939
stealer	-0.958	0.375	-0.958	-0.909
stealing	-1.000	-0.090	-1.000	-1.000
stealthily	-0.708	-0.084	-0.708	-0.545
stealthy	-0.593	0.068	-0.593	-0.259
steam ahead	0.611	0.062	0.611	0.333
steamboat	0.417	0.266	0.417	0.030
steamily	0.625	-0.333	0.625	-0.125
steamroller	-0.667	0.334	-0.667	-0.528
steeliness	-0.667	0.905	-0.667	0.500
steelmaker	-0.381	0.750	-0.381	0.333
steep	-0.190	-0.358	-0.190	0.000
steeple	0.222	0.000	0.000	0.222
steeplechase	0.148	0.296	0.148	0.061
steeplechaser	0.048	0.625	0.048	0.000
steeply	0.026	0.125	0.000	0.026
steerage	-0.417	-0.185	-0.417	0.000
stegosaurus	0.000	0.370	0.000	0.000
stellar	0.750	0.538	0.625	0.750
stemmed	-0.028	-0.444	0.000	-0.028
stemware	0.000	0.000	0.000	0.000
stench	-0.958	-0.404	-0.958	-0.167
stenosis	-0.583	-0.500	-0.583	-0.061
step back	0.111	-0.266	0.111	0.030
step down	0.467	-0.380	-0.167	0.467
step forward	0.926	0.366	0.926	0.533
step off	-0.583	-0.388	-0.583	-0.056
step over	-0.375	-0.376	-0.375	-0.067
stepbrother	0.208	0.000	0.208	0.030
stepfather	0.417	0.222	0.417	0.121
stepladder	0.061	0.095	0.000	0.061
stepping down	0.303	-0.280	-0.167	0.303
stepping stone	0.500	0.414	0.500	0.233
steppingstone	0.619	0.375	0.619	0.300
stepstool	0.125	-0.250	0.125	0.042
stereogram	0.000	0.333	0.000	0.000
stereophonic	0.042	0.500	0.042	0.030
stereoscope	0.167	0.185	0.167	0.030
stereoscopic	0.030	0.148	0.000	0.030
stereotype	-0.667	0.224	-0.667	-0.444
stereotyped	-0.667	-0.128	-0.524	-0.667
stereotypic	-0.667	0.000	-0.667	-0.250
stereotypical	-0.583	-0.500	-0.583	-0.500
sterile	-0.625	-0.418	-0.625	0.000
sterility	-0.500	-0.172	-0.500	-0.182
sterilizer	-0.583	0.583	-0.583	0.121
sternness	-0.625	0.750	-0.625	0.481
steroid	-0.519	0.362	-0.519	-0.167
steroids	-0.788	0.792	-0.524	-0.788
stew	0.852	-0.500	0.852	-0.111
steward	0.905	0.100	0.905	0.697
stewardess	0.708	-0.018	0.708	0.583
stfu	-1.000	-0.220	-1.000	-0.970
stick	-0.042	-0.236	-0.042	0.030
stick around	0.867	-0.266	0.867	0.733
stick on	-0.167	0.218	-0.167	0.000
stick out	-0.125	-0.130	-0.125	0.000
stick shift	-0.190	0.000	-0.190	0.028
